url,ville,ville_slug,type
https://www.lepuyenvelay.fr,Le Puy-en-Velay,le-puy-en-velay,mairie
https://www.montelimar.fr,Montélimar,montelimar,mairie
https://www.cournon-auvergne.fr,Cournon-d'Auvergne,cournon-dauvergne,mairie
https://www.ville-gueret.fr,Guéret,gueret,mairie
https://www.blois.fr,Blois,blois,mairie
https://www.angouleme.fr,Angoulême,angouleme,mairie
https://www.saint-gaudens.fr,Saint-Gaudens,saint-gaudens,mairie
https://www.tarbes.fr,Tarbes,tarbes,mairie
https://www.cahors.fr,Cahors,cahors,mairie
https://www.auxerre.fr,Auxerre,auxerre,mairie
https://www.mulhouse.fr,Mulhouse,mulhouse,mairie
https://www.montbeliard.fr,Montbéliard,montbeliard,mairie
https://www.selestat.fr,Sélestat,selestat,mairie
https://www.narbonne.fr,Narbonne,narbonne,mairie
https://www.frejus.fr,Fréjus,frejus,mairie
https://www.brignoles.fr,Brignoles,brignoles,mairie
https://www.aubenas.fr,Aubenas,aubenas,mairie
https://www.saintnazaire.fr,Saint-Nazaire,saint-nazaire,mairie
https://www.dinan.fr,Dinan,dinan,mairie
https://www.valenciennes.fr,Valenciennes,valenciennes,mairie
